name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,realease_year
Through The Window,BLVKSHP,0.574,0.599,10,-9.967,1,0.177,0.764,0.812,0.141,0.325,179.74,165333,4,2022
90's Flavour,Konteks,0.781,0.346,6,-12.185,1,0.034,0.388,0.897,0.116,0.744,91.999,127826,4,2022
O Estrangeiro,Twit One,0.824,0.615,7,-12.859,1,0.0461,0.0447,0.58,0.105,0.732,90.508,70075,4,2022
Blue in Green,Jazzinuf,0.718,0.285,5,-9.944,1,0.0541,0.773,0.768,0.106,0.566,87.987,107027,4,2022
TM beat up,buggy beats,0.774,0.599,6,-6.337,0,0.287,0.133,0.414,0.273,0.673,89.937,159178,4,2022
Passage,GXNXSIS,0.492,0.337,9,-15.304,0,0.0368,0.573,0.902,0.102,0.175,75.92,126369,4,2022
Juno,Snazzy,0.673,0.387,1,-16.561,0,0.0473,0.404,0.809,0.11,0.104,88.007,147273,4,2022
Blurred,Mr. Käfer,0.631,0.466,4,-8.052,0,0.0524,0.81,0.888,0.103,0.414,80.987,173648,4,2022
Smile,KLIM,0.439,0.33,10,-10.62,0,0.0636,0.098,0.898,0.392,0.396,148.188,140000,1,2022
Fissure,Supereffective,0.676,0.67,5,-6.686,0,0.272,0.21,0.591,0.189,0.523,184.004,146192,4,2022
All 'Bout All,yeyts.,0.773,0.292,9,-10.008,1,0.114,0.537,0.833,0.102,0.425,79.225,135563,4,2022
Vibrations,Koralle,0.662,0.522,5,-6.07,0,0.0302,0.0142,0.826,0.107,0.923,90.048,171500,4,2022
Promenade,Oilix,0.601,0.361,8,-12.24,0,0.0381,0.272,0.802,0.129,0.357,166.021,141687,4,2022
November,Katashi Kaitō,0.686,0.332,10,-14.419,0,0.078,0.364,0.779,0.107,0.614,89.004,167211,4,2022
Funkfreed,Koby 808,0.692,0.469,3,-11.189,1,0.0618,0.147,0.85,0.128,0.415,83.024,156012,4,2022
Bubbles,Danæ,0.503,0.216,5,-13.166,0,0.0379,0.975,0.888,0.0973,0.0605,69.04,170652,4,2022
